,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
8285,40,Hooters of Williamsburg,4.2,21,"American, Bar Food, burger, Chicken, Burgers",2,"112 Bypass Road, Williamsburg, VA, 23185",23185,37.2850596,-76.7185082,0
8536,40,Daikaya,4.8,147,"Ramen, Japanese, Exclusive to Eats",2,"705 6th St NW, Washington, DC, 20001",20001,38.8986262,-77.0195939,0
569,14,Famous Dave's  Westhill &amp; Wisconsin ,4.3,58,"American, BBQ, Family Meals",2,"1170 N Westhill Blvd, Appleton, WI, 54914",54914,44.27177,-88.46052,0
14174,2,Denny's  1250 Washington Blvd ,4.6,31,"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy",2,"1250 Washington Blvd, Ogden, UT, 84404",84404,41.243192,-111.9695194,0
17878,194,Tuk Tuk Thai,4.7,200,"Thai, Asian, Asian Fusion, Group Friendly",2,"3431 W 7th St, Fort Worth, TX, 76107",76107,32.750667,-97.3675144,0
16156,21,Chili's  5805 Slide Rd. ,4.3,112,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings",2,"5805 Slide Rd., Lubbock, TX, 79414-4305",79414-4305,33.54102,-101.9218,0
17156,7,Sonic  1920 S. Beltline Road ,4.2,53,"American, Fast Food, Burgers",2,"1920 S. Beltline Road, Dallas, TX, 75253",75253,32.67531,-96.602576,0
4933,19,Shari's Cafe  Tacoma ,4.3,99,"American, Bakery, Breakfast &amp; Brunch",2,"1933 S 72nd, Tacoma, WA, 98408",98408,47.19333,-122.46041,0
5578,58,Taqueria Tres Hermanos,4.4,43,Mexican,2,"4420 Pacific Hwy E, Fife, WA, 98424",98424,47.2428,-122.368688,0
8605,233,Famous Dave's  Oakton ,4.7,172,"BBQ, American, Traditional American, Burgers, Comfort Food, Southern",2,"2910 Chain Bridge Rd, Oakton, VA, 22124",22124,38.8824896,-77.2987318,0
6705,220,Dave &amp; Buster's  Auburn ,4.1,22,"American, Burgers, Wings",2,"1101 Outlet Collection Drive SW, Auburn, WA, 98001",98001,47.299736,-122.243546,0
9517,19,704-Bonefish Grill  7611 Somerset Crossing Dr ,4.8,61,"American, Seafood, Family Meals",2,"7611 Somerset Crossing Dr, Gainesville, VA, 20155",20155,38.7927331,-77.6302612,0
3531,26,Noppakao Thai Restaurant,4.7,200,"Black-owned, Thai, Family Friendly, Group Friendly",2,"9745 NE 117th Ln, Kirkland, WA, 98034",98034,47.7053572,-122.211283,0
6972,61,Applebee's  Pasco ,4.5,84,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",2,"5305 Road 68, Pasco, WA, 99301",99301,46.2751848,-119.1848374,0
5915,153,Chef Lu's Asian Bistro,4.4,192,"Chinese: Other, Asian, Chinese, Family Friendly, Group Friendly",2,"2915 E 29th Ave, Spokane, WA, 99223",99223,47.6284903,-117.3678774,0
15862,29,Zoe's Kitchen  102 Prairie Road ,4.6,129,"Healthy, Family Meals, Family Friendly",2,"102 Prairie Road, Fairview, TX, 75069",75069,33.1309568,-96.6487295,0
4367,25,Yonder  Portland ,4.7,35,"American, Southern, Fried Chicken",2,"4636 NE 42nd Ave Suite A, Portland, OR, 97218",97218,45.55715,-122.62022,0
